instance,solver,rate result,rate d-result,rate reason-deletions,rate time,rate d-time
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_LCM+BCrestart@default,lrat-check pending,lrat-check pending,831,39.21,37.42
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_LCM+BCrestart_M1@default,lrat-check pending,lrat-check pending,831,22.70,23.01
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,MapleLCMDistChronoBT@default,lrat-check pending,lrat-check pending,831,25.41,27.39
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_LCM_M1@default,lrat-check pending,lrat-check pending,831,26.64,27.76
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_LCM_Scavel_200_fix2@default,lrat-check pending,lrat-check pending,831,31.84,30.34
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_LCM_Scavel_fix2@default,lrat-check pending,lrat-check pending,831,32.78,27.33
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Minisat-v2.2.0-106-ge2dd095@simp_proof,lrat-check pending,lrat-check pending,831,1.74,1.49
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Riss7.1-fix@BVE_DRAT,lrat-check pending,lrat-check pending,831,124.51,109.83
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,smallsat@default,lrat-check pending,lrat-check pending,551,64.39,54.36
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Sparrow2Riss-2018-fixfix@MAIN,lrat-check pending,lrat-check pending,831,109.64,115.95
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,varisat@default,lrat-check pending,lrat-check pending,0,49.16,43.10
cz-3-7-7,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,2670,4936.82,5191.86
cz-3-7-7,Lingeling@default,lrat-check pending,lrat-check pending,321,9251.82,9006.96
dist10.c,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,7956,597.81,640.24
dist10.c,Lingeling@default,lrat-check pending,lrat-check pending,4499,602.55,801.16
dist10.c,Riss7.1-fix@BVE_DRAT,lrat-check pending,lrat-check pending,5509,2046.12,2621.17
dist10.c,smallsat@default,lrat-check pending,lrat-check pending,130,1828.45,1457.49
