instance,solver,rate time,rate d-time,gratgen time,drat-trim time,rate space,rate d-space,gratgen space,drat-trim space
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,varisat@default,1.11,0.96,0.96,1.30,62.9,62.7,26.7,69.8
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,CaDiCaL@DONTUNZIP-fixed,1.74,1.53,1.15,1.34,72.2,72.2,41.5,75.9
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,abcdsat_r18@default,33.48,35.85,24.63,28.87,362.5,362.3,575.5,344.6
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,cms55-main-all4fixed@autotune,47.66,49.54,34.35,38.66,446.6,446.5,715.1,426.7
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,cms55-main-all4fixed@glubreak,29.23,31.00,19.57,22.22,329.5,329.3,499.7,312.3
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,cms55-main-all4fixed@main,40.68,38.81,26.63,27.60,408.2,408.2,648.4,389.9
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,COMiniSatPS_Pulsar_drup@drup,56.23,64.05,39.27,46.24,516.1,516.2,860.0,496.1
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,expGlucose@default,88.41,88.98,61.60,65.67,718.7,719.0,1237.2,697.7
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,expMC_LRB_VSIDS_Switch_2500@default,41.21,40.99,25.43,29.49,413.1,413.0,666.2,395.1
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,expMC_LRB_VSIDS_Switch@default,6.53,6.19,4.67,4.88,129.3,129.3,127.5,123.6
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,expMC_VSIDS_LRB_Switch_2500@default,30.76,30.30,22.18,23.21,332.9,332.9,489.7,313.7
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,GHackCOMSPS_drup@ghack_drup,33.10,30.18,20.21,23.51,330.1,330.3,474.6,313.6
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,glucose-3.0_PADC_10@default,171.05,170.61,129.10,143.01,1214.0,1213.8,2204.0,1193.8
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,glucose4.2.1@default,99.48,106.76,74.98,83.34,804.2,804.3,1398.8,783.3
